trade_date,ts_code,name,type,quality,close,target_pe,target_div_yield,dps_recent_fy,dps_fiscal_year,eps_last_annual,eps_natural_year_est,eps_growth_est,pe_natural_year,pe_static,pe_ttm_ref,pe_price,div_price,base_price,buy_price,signal,dv_ttm_ref,pb_ref,total_mv_yi
20260807,002958.SZ,青农商行,农商行,一般,3.0,6.67,4.5,0.12,2025,0.52,0.486,0.5276282622589327,6.17,5.33,5.22,3.242,2.667,2.667,2.787,等待 · 需跌7.1%,4.0,0.44,167.0
20260807,600928.SH,西安银行,城商行,一般,3.53,6.67,4.5,0.1,2025,0.6,0.573,0.5943066129273026,6.16,5.92,5.82,3.822,2.222,2.222,2.322,等待 · 需跌34.2%,2.83,0.44,157.0
20260807,601528.SH,瑞丰银行,农商行,一般,4.89,6.67,4.5,0.21,2025,1.0,1.009,1.0350407790721745,4.85,4.88,4.89,6.73,4.667,4.667,4.877,等待 · 需跌0.3%,4.29,0.48,96.0
20260807,601658.SH,邮储银行,国有大行,一般,4.96,6.67,5.0,0.2183,2025,0.73,0.758,0.7196618057616758,6.54,6.82,6.78,5.056,4.366,4.366,4.584,等待 · 需跌7.6%,4.4,0.58,5957.0
20260807,002948.SZ,青岛银行,城商行,一般,5.69,6.67,4.5,0.18,2025,0.85,0.89,0.9756788710907704,6.39,6.38,6.07,5.936,4.0,4.0,4.18,等待 · 需跌26.5%,3.16,0.78,331.0
20260807,601988.SH,中国银行,国有大行,一般,5.77,6.67,5.5,0.2263,2025,0.74,0.762,0.7504961513372471,7.57,7.65,7.58,5.083,4.115,4.115,4.341,等待 · 需跌24.8%,3.92,0.68,18592.0
20260807,601665.SH,齐鲁银行,城商行,一般,6.22,6.67,4.5,0.2492,2025,1.0,1.13,1.1195690464262467,5.5,6.7,6.48,7.537,5.538,5.538,5.787,等待 · 需跌7.0%,4.01,0.76,383.0
20260807,601288.SH,农业银行,国有大行,一般,6.47,6.67,5.5,0.2495,2025,0.78,0.814,0.8164032608695653,7.95,7.78,7.69,5.429,4.536,4.536,4.785,等待 · 需跌26.0%,3.86,0.8,22644.0
20260807,601328.SH,交通银行,国有大行,一般,6.91,6.67,5.5,0.3247,2025,1.08,1.12,1.0759137393025975,6.17,6.39,6.33,7.47,5.904,5.904,6.229,等待 · 需跌9.9%,4.7,0.52,6106.0
20260807,601187.SH,厦门银行,城商行,一般,7.25,6.67,4.5,0.25,2025,0.9,0.947,0.9292468398876405,7.66,7.26,7.13,6.316,5.556,5.556,5.806,等待 · 需跌19.9%,3.45,0.7,191.0
20260807,601398.SH,工商银行,国有大行,一般,7.53,6.67,5.5,0.3103,2025,1.0,1.009,1.0129425182986922,7.46,7.28,7.23,6.73,5.642,5.642,5.952,等待 · 需跌21.0%,4.12,0.68,26837.0
20260807,600000.SH,浦发银行,股份行,一般,9.21,6.67,5.0,0.42,2025,1.52,1.306,1.5342634881255002,7.05,6.13,6.1,8.711,8.4,8.4,8.82,等待 · 需跌4.2%,4.56,0.41,3067.0
20260807,601939.SH,建设银行,国有大行,一般,10.07,6.67,5.5,0.3887,2025,1.3,1.353,1.329716103402239,7.44,7.77,7.71,9.025,7.067,7.067,7.456,等待 · 需跌26.0%,2.01,0.74,26343.0
20260807,601963.SH,重庆银行,城商行,一般,10.76,6.67,4.5,0.4481,2025,1.53,1.543,1.6007651673477432,6.97,6.9,6.7,10.292,9.958,9.958,10.406,等待 · 需跌3.3%,4.05,0.67,390.0
